ita_number	hermann_mauguin	hall_symbol	setting	primitive_basis_columns_in_conventional_coordinates	centring_vectors	in_jbd_figure_2_8	point_group_hm	point_group_type	point_group_order	arithmetic_class	lattice_index_conventional_in_full	symmorphic	stage1_status	generators_primitive_basis	h11	h21	euler	resolution_status	literature_match	literature_h11_h21	agrees_with_literature	pi1_order_A_mod_G	evidence
149	P 3 1 2	P 3 2	ITA standard setting (spglib Hall number 438); origin: ITA standard origin	1,0,0; 0,1,0; 0,0,1	0,0,0	True	312	S3	6	312P	1	True	audited (linear/symmorphic)	[0,-1,0,1,-1,0,0,0,1 | 0,0,0]; [0,-1,0,-1,0,0,0,0,-1 | 0,0,0]	15	15	0	crepant projective resolution exists (BKR Thm 1.2, G-Hilb); Hodge numbers = orbifold Hodge numbers (Yasuda Thm 1.5 / Batyrev Thm 7.5); strict CY (h10=h20=0)	Donten-Bury D6(2) (Table 1/2, arXiv:0812.3758); Burek G_6.1 (arXiv:2112.03970)	[15, 15]	True	1	output/hodge_numbers_linear.json, output/zclass_matching.json, output/literature_comparison.json, output/crystallographic_data.json
150	P 3 2 1	P 3 2"	ITA standard setting (spglib Hall number 439); origin: ITA standard origin	1,0,0; 0,1,0; 0,0,1	0,0,0	True	321	S3	6	321P	1	True	audited (linear/symmorphic)	[0,-1,0,1,-1,0,0,0,1 | 0,0,0]; [0,1,0,1,0,0,0,0,-1 | 0,0,0]	15	15	0	crepant projective resolution exists (BKR Thm 1.2, G-Hilb); Hodge numbers = orbifold Hodge numbers (Yasuda Thm 1.5 / Batyrev Thm 7.5); strict CY (h10=h20=0)	Donten-Bury D6(1) (Table 1/2, arXiv:0812.3758); Burek G_6.2 (arXiv:2112.03970)	[15, 15]	True	1	output/hodge_numbers_linear.json, output/zclass_matching.json, output/literature_comparison.json, output/crystallographic_data.json
151	P 3_1 1 2	P 31 2 (0 0 4)	ITA standard setting (spglib Hall number 440); origin: ITA standard origin	1,0,0; 0,1,0; 0,0,1	0,0,0	True	312	S3	6	312P	1	False	pending (non-symmorphic; translations retained; not computed in stage 1)	[0,-1,0,1,-1,0,0,0,1 | 0,0,1/3]; [0,-1,0,-1,0,0,0,0,-1 | 0,0,2/3]				pending	pending (no individual literature search performed in stage 1)				output/crystallographic_data.json (generators only)
153	P 3_2 1 2	P 32 2 (0 0 2)	ITA standard setting (spglib Hall number 442); origin: ITA standard origin	1,0,0; 0,1,0; 0,0,1	0,0,0	True	312	S3	6	312P	1	False	pending (non-symmorphic; translations retained; not computed in stage 1)	[0,-1,0,1,-1,0,0,0,1 | 0,0,2/3]; [0,-1,0,-1,0,0,0,0,-1 | 0,0,1/3]				pending	pending (no individual literature search performed in stage 1)				output/crystallographic_data.json (generators only)
155	R 3 2	R 3 2"	ITA standard setting (spglib Hall number 444, hexagonal axes); origin: ITA standard origin	1/3,2/3,2/3; 0,1,0; 0,0,1	0,0,0; 1/3,2/3,2/3; 2/3,1/3,1/3	True	32	S3	6	32R	3	True	audited (linear/symmorphic)	[-2,-3,0,1,1,0,2,2,1 | 0,0,0]; [2,3,0,-1,-2,0,-2,-2,-1 | 0,0,0]	7	7	0	crepant projective resolution exists (BKR Thm 1.2, G-Hilb); Hodge numbers = orbifold Hodge numbers (Yasuda Thm 1.5 / Batyrev Thm 7.5); strict CY (h10=h20=0)	Donten-Bury D6(3) (Table 1/2, arXiv:0812.3758); Burek G_6.3 (arXiv:2112.03970)	[7, 7]	True	1	output/hodge_numbers_linear.json, output/zclass_matching.json, output/literature_comparison.json, output/crystallographic_data.json
177	P 6 2 2	P 6 2	ITA standard setting (spglib Hall number 471); origin: ITA standard origin	1,0,0; 0,1,0; 0,0,1	0,0,0	True	622	D6 (order 12)	12	622P	1	True	audited (linear/symmorphic)	[1,-1,0,1,0,0,0,0,1 | 0,0,0]; [0,-1,0,-1,0,0,0,0,-1 | 0,0,0]	21	9	24	crepant projective resolution exists (BKR Thm 1.2, G-Hilb); Hodge numbers = orbifold Hodge numbers (Yasuda Thm 1.5 / Batyrev Thm 7.5); strict CY (h10=h20=0)	Donten-Bury D12 (Table 1/2, arXiv:0812.3758); Burek G_12.1 (arXiv:2112.03970)	[21, 9]	True	1	output/hodge_numbers_linear.json, output/zclass_matching.json, output/literature_comparison.json, output/crystallographic_data.json
178	P 6_1 2 2	P 61 2 (0 0 5)	ITA standard setting (spglib Hall number 472); origin: ITA standard origin	1,0,0; 0,1,0; 0,0,1	0,0,0	True	622	D6 (order 12)	12	622P	1	False	pending (non-symmorphic; translations retained; not computed in stage 1)	[1,-1,0,1,0,0,0,0,1 | 0,0,1/6]; [0,-1,0,-1,0,0,0,0,-1 | 0,0,5/6]				pending	pending (no individual literature search performed in stage 1)				output/crystallographic_data.json (generators only)
179	P 6_5 2 2	P 65 2 (0 0 1)	ITA standard setting (spglib Hall number 473); origin: ITA standard origin	1,0,0; 0,1,0; 0,0,1	0,0,0	True	622	D6 (order 12)	12	622P	1	False	pending (non-symmorphic; translations retained; not computed in stage 1)	[1,-1,0,1,0,0,0,0,1 | 0,0,5/6]; [0,-1,0,-1,0,0,0,0,-1 | 0,0,1/6]				pending	pending (no individual literature search performed in stage 1)				output/crystallographic_data.json (generators only)
180	P 6_2 2 2	P 62 2 (0 0 4)	ITA standard setting (spglib Hall number 474); origin: ITA standard origin	1,0,0; 0,1,0; 0,0,1	0,0,0	True	622	D6 (order 12)	12	622P	1	False	pending (non-symmorphic; translations retained; not computed in stage 1)	[1,-1,0,1,0,0,0,0,1 | 0,0,1/3]; [0,-1,0,-1,0,0,0,0,-1 | 0,0,2/3]				pending	pending (no individual literature search performed in stage 1)				output/crystallographic_data.json (generators only)
181	P 6_4 2 2	P 64 2 (0 0 2)	ITA standard setting (spglib Hall number 475); origin: ITA standard origin	1,0,0; 0,1,0; 0,0,1	0,0,0	True	622	D6 (order 12)	12	622P	1	False	pending (non-symmorphic; translations retained; not computed in stage 1)	[1,-1,0,1,0,0,0,0,1 | 0,0,2/3]; [0,-1,0,-1,0,0,0,0,-1 | 0,0,1/3]				pending	pending (no individual literature search performed in stage 1)				output/crystallographic_data.json (generators only)
182	P 6_3 2 2	P 6c 2c	ITA standard setting (spglib Hall number 476); origin: ITA standard origin	1,0,0; 0,1,0; 0,0,1	0,0,0	True	622	D6 (order 12)	12	622P	1	False	pending (non-symmorphic; translations retained; not computed in stage 1)	[1,-1,0,1,0,0,0,0,1 | 0,0,1/2]; [0,-1,0,-1,0,0,0,0,-1 | 0,0,1/2]				pending	pending (no individual literature search performed in stage 1)				output/crystallographic_data.json (generators only)
195	P 2 3	P 2 2 3	ITA standard setting (spglib Hall number 489); origin: ITA standard origin	1,0,0; 0,1,0; 0,0,1	0,0,0	True	23	A4	12	23P	1	True	audited (linear/symmorphic)	[0,0,1,1,0,0,0,1,0 | 0,0,0]; [0,0,1,-1,0,0,0,-1,0 | 0,0,0]	19	3	32	crepant projective resolution exists (BKR Thm 1.2, G-Hilb); Hodge numbers = orbifold Hodge numbers (Yasuda Thm 1.5 / Batyrev Thm 7.5); strict CY (h10=h20=0)	Donten-Bury A4(1) (Table 1/2, arXiv:0812.3758); Burek G_12.2 (arXiv:2112.03970)	[19, 3]	True	1	output/hodge_numbers_linear.json, output/zclass_matching.json, output/literature_comparison.json, output/crystallographic_data.json
196	F 2 3	F 2 2 3	ITA standard setting (spglib Hall number 490); origin: ITA standard origin	1/2,0,1/2; 0,1/2,1/2; 0,0,1	0,0,0; 0,1/2,1/2; 1/2,0,1/2; 1/2,1/2,0	True	23	A4	12	23F	4	True	audited (linear/symmorphic)	[1,1,2,1,0,0,-1,0,-1 | 0,0,0]; [1,1,2,-1,0,0,0,-1,-1 | 0,0,0]	7	3	8	crepant projective resolution exists (BKR Thm 1.2, G-Hilb); Hodge numbers = orbifold Hodge numbers (Yasuda Thm 1.5 / Batyrev Thm 7.5); strict CY (h10=h20=0)	Donten-Bury A4(2) (Table 1/2, arXiv:0812.3758); Burek G_12.4 (arXiv:2112.03970)	[7, 3]	True	1	output/hodge_numbers_linear.json, output/zclass_matching.json, output/literature_comparison.json, output/crystallographic_data.json
198	P 2_1 3	P 2ac 2ab 3	ITA standard setting (spglib Hall number 492); origin: ITA standard origin	1,0,0; 0,1,0; 0,0,1	0,0,0	True	23	A4	12	23P	1	False	pending (non-symmorphic; translations retained; not computed in stage 1)	[0,0,1,1,0,0,0,1,0 | 0,0,0]; [0,0,1,-1,0,0,0,-1,0 | 1/2,1/2,0]				pending	pending (no individual literature search performed in stage 1)				output/crystallographic_data.json (generators only)
199	I 2_1 3	I 2b 2c 3	ITA standard setting (spglib Hall number 493); origin: ITA standard origin	1/2,1/2,1/2; 0,1,0; 0,0,1	0,0,0; 1/2,1/2,1/2	True	23	A4	12	23I	2	False	pending (non-symmorphic; translations retained; not computed in stage 1)	[1,0,2,0,0,-1,0,1,-1 | 0,0,0]; [1,0,2,-1,0,-1,-1,-1,-1 | 0,0,1/2]				pending	pending (no individual literature search performed in stage 1)				output/crystallographic_data.json (generators only)
207	P 4 3 2	P 4 2 3	ITA standard setting (spglib Hall number 503); origin: ITA standard origin	1,0,0; 0,1,0; 0,0,1	0,0,0	True	432	S4	24	432P	1	True	audited (linear/symmorphic)	[0,-1,0,1,0,0,0,0,1 | 0,0,0]; [0,0,1,0,1,0,-1,0,0 | 0,0,0]	20	6	28	crepant projective resolution exists (BKR Thm 1.2, G-Hilb); Hodge numbers = orbifold Hodge numbers (Yasuda Thm 1.5 / Batyrev Thm 7.5); strict CY (h10=h20=0)	Donten-Bury S4(1) (Table 1/2, arXiv:0812.3758); Burek G_24.1 (arXiv:2112.03970); Andreatta-Wisniewski §4.2 octahedral	[20, 6]	True	1	output/hodge_numbers_linear.json, output/zclass_matching.json, output/literature_comparison.json, output/crystallographic_data.json
208	P 4_2 3 2	P 4n 2 3	ITA standard setting (spglib Hall number 504); origin: ITA standard origin	1,0,0; 0,1,0; 0,0,1	0,0,0	True	432	S4	24	432P	1	False	pending (non-symmorphic; translations retained; not computed in stage 1)	[0,-1,0,1,0,0,0,0,1 | 1/2,1/2,1/2]; [0,0,1,0,1,0,-1,0,0 | 1/2,1/2,1/2]				pending	pending (no individual literature search performed in stage 1)				output/crystallographic_data.json (generators only)
209	F 4 3 2	F 4 2 3	ITA standard setting (spglib Hall number 505); origin: ITA standard origin	1/2,0,1/2; 0,1/2,1/2; 0,0,1	0,0,0; 0,1/2,1/2; 1/2,0,1/2; 1/2,1/2,0	True	432	S4	24	432F	4	True	audited (linear/symmorphic)	[0,-1,0,1,0,0,0,1,1 | 0,0,0]; [1,1,2,0,1,0,-1,-1,-1 | 0,0,0]	11	3	16	crepant projective resolution exists (BKR Thm 1.2, G-Hilb); Hodge numbers = orbifold Hodge numbers (Yasuda Thm 1.5 / Batyrev Thm 7.5); strict CY (h10=h20=0)	Donten-Bury S4(2) (Table 1/2, arXiv:0812.3758); Burek G_24.3 (arXiv:2112.03970)	[11, 3]	True	1	output/hodge_numbers_linear.json, output/zclass_matching.json, output/literature_comparison.json, output/crystallographic_data.json
210	F 4_1 3 2	F 4d 2 3	ITA standard setting (spglib Hall number 506); origin: ITA standard origin	1/2,0,1/2; 0,1/2,1/2; 0,0,1	0,0,0; 0,1/2,1/2; 1/2,0,1/2; 1/2,1/2,0	True	432	S4	24	432F	4	False	pending (non-symmorphic; translations retained; not computed in stage 1)	[0,-1,0,1,0,0,0,1,1 | 1/2,1/2,3/4]; [1,1,2,0,1,0,-1,-1,-1 | 1/2,1/2,3/4]				pending	pending (no individual literature search performed in stage 1)				output/crystallographic_data.json (generators only)
211	I 4 3 2	I 4 2 3	ITA standard setting (spglib Hall number 507); origin: ITA standard origin	1/2,1/2,1/2; 0,1,0; 0,0,1	0,0,0; 1/2,1/2,1/2	True	432	S4	24	432I	2	True	audited (linear/symmorphic)	[-1,-2,0,1,1,0,1,1,1 | 0,0,0]; [1,0,2,0,1,-1,-1,0,-1 | 0,0,0]	11	3	16	crepant projective resolution exists (BKR Thm 1.2, G-Hilb); Hodge numbers = orbifold Hodge numbers (Yasuda Thm 1.5 / Batyrev Thm 7.5); strict CY (h10=h20=0)	Donten-Bury S4(3) (Table 1/2, arXiv:0812.3758); Burek G_24.2 (arXiv:2112.03970)	[11, 3]	True	1	output/hodge_numbers_linear.json, output/zclass_matching.json, output/literature_comparison.json, output/crystallographic_data.json
212	P 4_3 3 2	P 4acd 2ab 3	ITA standard setting (spglib Hall number 508); origin: ITA standard origin	1,0,0; 0,1,0; 0,0,1	0,0,0	True	432	S4	24	432P	1	False	pending (non-symmorphic; translations retained; not computed in stage 1)	[0,-1,0,1,0,0,0,0,1 | 3/4,1/4,3/4]; [0,0,1,0,1,0,-1,0,0 | 1/4,3/4,3/4]				pending	pending (no individual literature search performed in stage 1)				output/crystallographic_data.json (generators only)
213	P 4_1 3 2	P 4bd 2ab 3	ITA standard setting (spglib Hall number 509); origin: ITA standard origin	1,0,0; 0,1,0; 0,0,1	0,0,0	True	432	S4	24	432P	1	False	pending (non-symmorphic; translations retained; not computed in stage 1)	[0,-1,0,1,0,0,0,0,1 | 1/4,3/4,1/4]; [0,0,1,0,1,0,-1,0,0 | 3/4,1/4,1/4]				pending	pending (no individual literature search performed in stage 1)				output/crystallographic_data.json (generators only)
214	I 4_1 3 2	I 4bd 2c 3	ITA standard setting (spglib Hall number 510); origin: ITA standard origin	1/2,1/2,1/2; 0,1,0; 0,0,1	0,0,0; 1/2,1/2,1/2	True	432	S4	24	432I	2	False	pending (non-symmorphic; translations retained; not computed in stage 1)	[-1,-2,0,1,1,0,1,1,1 | 1/2,1/2,0]; [1,0,2,0,1,-1,-1,0,-1 | 1/2,1/2,1/2]				pending	pending (no individual literature search performed in stage 1)				output/crystallographic_data.json (generators only)
